Number,Code Name,Description,Citations,URLs
272,Nucleotide code,The Nucleotide Binding Code,"Geohring, I. C., Chai, P., Iyer, B. R., Ton, W. D., Yang, J., Ide, A. H., . . . Markus, S. M. (2026). A nucleotide code governs Lis1's ability to relieve dynein autoinhibition. Nat Chem Biol, 22(4), 649-662.","[""https://doi.org/10.1038/s41589-025-02096-8"", ""https://www.science.org/doi/10.1126/stke.3122005re13""]"
273,O-GlcNAc code,The O-GlcNAc code,"Love, D. C. and J. A. Hanover (2005). ""The hexosamine signaling pathway: deciphering the ""O-GlcNAc code""."" Sci STKE 2005(312): re13. Ruan, H.-B., J. P. Singh, M.-D. Li, J. Wu and X. Yang (2013). “Cracking the O-GlcNAc code in metabolism.” Trends in Endocrinology & Metabolism 24(6): 301-309. Ma, J., Hou, C., & Wu, C. (2022). Demystifying the O-GlcNAc Code: A Systems View. Chemical Reviews, 122(20), 15822-15864. Zhou, S., Lou, W., Wei, Z., Wang, T., Li, Y., Zhao, Q., . . . Xu, Z. (2026). Decoding the regulatory code: O-GlcNAcylation in epithelial-mesenchymal transition (EMT). Journal of Biological Chemistry, 302(3), 111265.","[""https://doi.org/10.1016/j.jbc.2026.111265"", ""https://doi.org/10.1021/acs.chemrev.1c01006"", ""https://doi.org/10.1093/plphys/kiae457"", ""https://www.science.org/doi/10.1126/stke.3122005re13"", ""https://www.sciencedirect.com/science/article/abs/pii/S1043276013000337""]"
274,Oil code,The Plant Oil Production Code,"Moreno, S. R. (2024). Mining the oil code: New insights behind oil production in Brassica napus. Plant Physiol, 197(1).","[""https://doi.org/10.1093/plphys/kiae457"", ""https://www.nature.com/articles/2141095a0""]"
275,Olfactory code – A (general),The General Olfactory Code,"Amoore, J. E. (1967). “Specific anosmia: a clue to the olfactory code.”Nature 214(5093): 1095-1098. Wright, R. H., J. R. Hughes and D. E. Hendrix (1967). ""Olfactory coding."" Nature 216(5113): 404-406. Amoore, J. E. (1974). “Evidence for the chemical olfactory code in man.” Ann N Y Acad Sci 237(0): 137-143.","[""https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.1974.tb49850.x"", ""https://www.nature.com/articles/2141095a0"", ""https://www.nature.com/articles/216404a0""]"
276,Olfactory code – B (specific),The Specific Olfactory Codes,"Mackay-Sim, A., P. Shaman and D. G. Moulton (1982). ""Topographic coding of olfactory quality: odorant-specific patterns of epithelial responsivity in the salamander."" J Neurophysiol 48(2): 584- 596. Karádi, Z., Y. Oomura, H. Nishino and S. Aou (1989). ""Olfactory coding in the monkey lateral hypothalamus: behavioral and neurochemical properties of odor-responding neurons."" Physiol Behav 45(6): 1249-1257. Friedrich, R. W. and S. I. Korsching (1997). ""Combinatorial and chemotopic odorant coding in the zebrafish olfactory bulb visualized by optical imaging."" Neuron 18(5): 737-752. Hekmat-Scafe, D. S., R. A. Steinbrecht and J. R. Carlson (1998). ""Olfactory coding in a compound nose. Coexpression of odorant-binding proteins in Drosophila."" Ann N Y Acad Sci 855: 311-315. Cobb, M. and I. Domain (2000). ""Olfactory coding in a simple system: adaptation in Drosophila larvae."" Proc Biol Sci 267(1457): 2119-2125. Derby, C. D. (2000). ""Learning from spiny lobsters about chemosensory coding of mixtures."" Physiol Behav 69(1-2): 203-209. Duchamp-Viret, P., A. Duchamp and M. A. Chaput (2000). ""Peripheral odor coding in the rat and frog: quality and intensity specification."" J Neurosci 20(6): 2383-2390. Galizia, C. G. and R. Menzel (2000). ""Odour perception in honeybees: coding information in glomerular patterns."" Curr Opin Neurobiol 10(4): 504-510. de Bruyne, M., K. Foster and J. R. Carlson (2001). ""Odor coding in the Drosophila antenna."" Neuron 30(2): 537-552. Rubin, B. D. and L. C. Katz (2001). ""Spatial coding of enantiomers in the rat olfactory bulb."" Nat Neurosci 4(4): 355-356. Hallem, E. A. and J. R. Carlson (2004). ""The odor coding system of Drosophila."" Trends Genet 20(9): 453-459.","[""https://journals.physiology.org/doi/abs/10.1152/jn.1982.48.2.584"", ""https://linkinghub.elsevier.com/retrieve/pii/0031-9384(89)90117-0"", ""https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.1998.tb10588.x"", ""https://royalsocietypublishing.org/doi/10.1098/rspb.2000.1258"", ""https://www.cell.com/neuron/fulltext/S0896-6273(00)80314-1"", ""https://www.cell.com/neuron/fulltext/S0896-6273(01)00289-6"", ""https://www.cell.com/trends/genetics/fulltext/S0168-9525(04)00181-7"", ""https://www.jneurosci.org/content/20/6/2383.long"", ""https://www.nature.com/articles/nn0401_355"", ""https://www.sciencedirect.com/science/article/abs/pii/S003193840000202X"", ""https://www.sciencedirect.com/science/article/abs/pii/S0959438800001094""]"
277,Omega Code,The Omega Leaf Code,"Tomlinson, P. B., A. Ricciardi and B. A. Huggett (2018). “Cracking the omega code: hydraulic architecture of the cycad leaf axis.” Ann Bot 121(3): 483-488.","[""https://academic.oup.com/aob/article/121/3/483/4774362"", ""https://www.mdpi.com/1422-0067/26/13/6377""]"
278,Oocyte code,The Oocyte Quality Code,"Voros, C., Athanasiou, D., Papapanagiotou, I., Mavrogianni, D., Varthaliti, A., Bananis, K., . . . Daskalakis, G. (2025). Cracking the Code of Oocyte Quality: The Oxidative Stress Link to IVF Success. Int J Mol Sci, 26(13), 6377.","[""https://www.mdpi.com/1422-0067/26/13/6377"", ""https://www.science.org/doi/10.1126/science.1062736""]"
279,Organogenesis code,The Regulatory Organogenesis Codes,"Scully, K. M. and M. G. Rosenfeld (2002). “Pituitary development: regulatory codes in mammalian organogenesis.” Science 295(5563): 2231-2235.","[""https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/abs/developing-a-universal-model-of-reading-necessitates-cracking-the-orthographic-code/14C4F02B9AED0910A6DD095BAB7AFFA7"", ""https://www.science.org/doi/10.1126/science.1062736""]"
280,Orthographic code,The Orthographic Reading Code,"Davis, C. J. (2012). “Developing a universal model of reading necessitates cracking the orthographic code.” Behav Brain Sci 35(5): 283-284. Wallot, S. (2014). “From “cracking the orthographic code” to “playing with language”: toward a usage-based foundation of the reading process.” Front Psychol 5: 891. Borleffs, E., B. A. M. Maassen, H. Lyytinen and F. Zwarts (2018). “Cracking the Code: The Impact of Orthographic Transparency and Morphological-Syllabic Complexity on Reading and Developmental Dyslexia.” Front Psychol 9: 2534.","[""https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001064"", ""https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/abs/developing-a-universal-model-of-reading-necessitates-cracking-the-orthographic-code/14C4F02B9AED0910A6DD095BAB7AFFA7"", ""https://www.frontiersin.org/articles/10.3389/fpsyg.2014.00891/full"", ""https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02534/full""]"
281,Oscillation code,The neuronal Oscillatory /Frequency Codes,"Schyns, P. G., G. Thut and J. Gross (2011). “Cracking the code of oscillatory activity.” PloS Biol 9(5): e1001064. de la Prida, L. M. (2019). “The Theta Stone: 3 to 10 Hz Oscillations to Decipher the Human Brain Code.” Epilepsy Curr 19(2): 126-128.","[""https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001064"", ""https://journals.sagepub.com/doi/full/10.1177/1535759719835662"", ""https://pubmed.ncbi.nlm.nih.gov/29218077/""]"
282,Osteoarthritis code,The Osteoarthritis Codes,"Cen, X., X. Q. Huang, W. T. Sun, Q. Liu and J. Liu (2017). ""Long noncoding RNAs: a new regulatory code in osteoarthritis."" Am J Transl Res 9(11): 4747-4755.","[""https://pubmed.ncbi.nlm.nih.gov/29218077/"", ""https://www.frontiersin.org/articles/10.3389/fendo.2018.00587/full""]"
283,Osteoporosis code,The Osteoporosis Code,"Wu, Q. Y., X. Li, Z. N. Miao, J. X. Ye, B. Wang, F. Zhang, R. S. Xu, D. L. Jiang, M. D. Zhao and F. L. Yuan (2018). ""Long Non-coding RNAs: A New Regulatory Code for Osteoporosis."" Front Endocrinol (Lausanne) 9: 587.","[""https://europepmc.org/article/med/10858956"", ""https://www.frontiersin.org/articles/10.3389/fendo.2018.00587/full""]"
284,p53 codes,P53 Associated Codes,"Appella, E., & Anderson, C. W. (2000). Signaling to p53: breaking the posttranslational modification code. Pathol Biol (Paris), 48(3), 227-245. O’Brate, A., & Giannakakou, P. (2003). The importance of p53 location: nuclear or cytoplasmic zip code? Drug Resistance Updates, 6(6), 313-322. Piccinin, S., Tonin, E., Sessa, S., Demontis, S., Rossi, S., Pecciarini, L., . . . Maestro, R. (2012). A ""twist box"" code of p53 inactivation: twist box: p53 interaction promotes p53 degradation. Cancer Cell, 22(3), 404-415.","[""https://europepmc.org/article/med/10858956"", ""https://www.cell.com/cancer-cell/fulltext/S1535-6108(12)00351-0"", ""https://www.sciencedirect.com/science/article/abs/pii/S1368764603001079""]"
285,PAR code,The Poly(ADP-Ribosyl) Code,"Maluchenko, N. V., Koshkina, D. O., Feofanov, A. V., Studitsky, V. M., & Kirpichnikov, M. P. (2021). Poly(ADP-Ribosyl) Code Functions. Acta Naturae, 13(2), 58-69.","[""https://doi.org/10.32607/actanaturae.11089"", ""https://journals.biologists.com/jcs/article/135/5/jcs259365/272582/A-palmitoylation-code-controls-PI4KIII-complex""]"
286,Palmitoylation code,The Palmitoylation Codes,"Batrouni, A. G., N. Bag, H. T. Phan, B. A. Baird and J. M. Baskin (2022). ""A palmitoylation code controls PI4KIIIα complex formation and PI(4,5)P2 homeostasis at the plasma membrane."" J Cell Sci 135(5). Kim, B.-I., Yeon, J.-H., & Suh, B.-C. (2025). Palmitoylation Code and Endosomal Sorting Regulate ABHD17A Plasma Membrane Targeting and Activity. Int J Mol Sci, 26(20), 10190. Xiao, H.-x., Li, Z.-z., Li, X.-h., Chen, T., Tang, X.-r., Zhang, Y., . . . Pan, Y.-p. (2026). The palmitoylation code in cell death signaling: from molecular mechanisms to therapeutic opportunities [Review]. Front Cell Dev Biol, Volume 14 - 2026.","[""https://doi.org/10.3389/fcell.2026.1740922"", ""https://journals.biologists.com/jcs/article/135/5/jcs259365/272582/A-palmitoylation-code-controls-PI4KIII-complex"", ""https://onlinelibrary.wiley.com/doi/10.1111/j.1469-7580.2005.00487.x"", ""https://www.mdpi.com/1422-0067/26/20/10190""]"
287,Pattern code,The Pattern Formation Code,"Depew, M. J., C. A. Simpson, M. Morasso and J. L. Rubenstein (2005). “Reassessing the Dlx code: the genetic regulation of branchial arch skeletal pattern and development.” J Anat 207(5): 501-561.","[""https://onlinelibrary.wiley.com/doi/10.1111/j.1469-7580.2005.00487.x""]"
288,Persistence code,The Virus Persistence Codes,"Colomb, F., Giron, L. B., Trbojevic-Akmacic, I., Lauc, G., & Abdel-Mohsen, M. (2019). Breaking the Glyco-Code of HIV Persistence and Immunopathogenesis. Current HIV/AIDS Reports, 16(2), 151-168. Saeed, U., Piracha, Z. Z., Khan, M., Tariq, M. N., Gilani, S. S., Raza, M., . . . Nauli, S. M. (2025). Cracking the code of HBV persistence: cutting-edge approaches to targeting cccDNA in chronic hepatitis B with or without pyogenic liver Abscesses [Review]. Frontiers in Medicine, Volume 12 - 2025.","[""https://doi.org/10.1007/s11904-019-00433-w"", ""https://doi.org/10.3389/fmed.2025.1504736"", ""https://www.sciencedirect.com/science/article/pii/S0303264725001534""]"
289,Personal code,The Personal Pictorial Code (Art),"Marconi, V. (2025). Titian's mythological paintings: A pictorial personal code. Biosystems, 255, 105543.","[""https://doi.org/10.1093/jb/mvaf080"", ""https://www.sciencedirect.com/science/article/pii/S0303264725001534""]"
290,pH code,The pH Code SEE also Senescence Codes,"Konishi, A. (2025). Breaking the pH Code: acidification triggers SASP and inflammation in cellular senescence. The Journal of Biochemistry.","[""https://doi.org/10.1093/jb/mvaf080"", ""https://www.sciencedirect.com/science/article/pii/S2319417017302688""]"
291,Phagocytic code,The Phagocytosis Codes,"Jubrail, J., N. Kurian and F. Niedergang (2017). ""Macrophage phagocytosis cracking the defect code in COPD."" Biomed J 40(6): 305-312. Bronte, V. (2019). ""Deciphering Macrophage and Monocyte Code to Stratify Human Breast Cancer Patients."" Cancer Cell 35(4): 538-539. Cockram, T. O. J., J. M. Dundee, A. S. Popescu and G. C. Brown (2021). ""The Phagocytic Code Regulating Phagocytosis of Mammalian Cells."" Front Immunol 12: 629979.","[""https://doi.org/10.1016/S0959-4388(00)00121-5"", ""https://linkinghub.elsevier.com/retrieve/pii/S1535-6108(19)30155-2"", ""https://www.frontiersin.org/articles/10.3389/fimmu.2021.629979/full"", ""https://www.sciencedirect.com/science/article/pii/S2319417017302688""]"
292,Pheromone code,The Pheromone Codes,"Dulac, C. (2000). Sensory coding of pheromone signals in mammals. Current Opinion in Neurobiology, 10(4), 511-518.","[""https://doi.org/10.1016/S0959-4388(00)00121-5""]"
293,Phenotype code,The Phenotype Codes,"Yotsukura, S., Karasuyama, M., Takigawa, I., & Mamitsuka, H. (2017). Exploring phenotype patterns of breast cancer within somatic mutations: a modicum in the intrinsic code. Brief Bioinform, 18(4), 619-633.","[""https://doi.org/10.1093/bib/bbw040""]"
294,Phonological code,The Phonological Codes,"Foss, D. J. and M. A. Gernsbacher (1983). ""Cracking the Dual Code: Toward a Unitary Model of Phoneme Identification."" J Verbal Learning Verbal Behav 22(6): 609-632. Brysbaert, M. and C. Praet (1992). “Reading isolated words: no evidence for automatic incorporation of the phonetic code.” Psychol Res 54(2): 91-102. Reynolds, M. and D. Besner (2006). “Reading aloud is not automatic: processing capacity is required to generate a phonological code from print.” J Exp Psychol Hum Percept Perform 32(6): 1303-1323. Jacquemot, C., E. Dupoux and A.-C. Bachoud-Lévi (2007). “Breaking the mirror: Asymmetrical disconnection between the phonological input and output codes.” Cognitive Neuropsychology 24(1): 3-22. Denis-Noël, A., C. Pattamadilok, É. Castet and P. Colé (2020). ""Activation time-course of phonological code in silent word recognition in adult readers with and without dyslexia."" Ann Dyslexia 70(3): 313- 338.","[""https://doi.org/10.1016/j.tplants.2022.12.008"", ""https://link.springer.com/article/10.1007/BF00937137"", ""https://link.springer.com/article/10.1007/s11881-020-00201-1"", ""https://psycnet.apa.org/record/2006-22004-001"", ""https://pubmed.ncbi.nlm.nih.gov/25520528/"", ""https://www.tandfonline.com/doi/abs/10.1080/02643290600683342?journalCode=pcgn20""]"
295,Phosphate code,The Phosphate Signalling Codes,"Jia, X., Wang, L., Nussaume, L., & Yi, K. (2023). Cracking the code of plant central phosphate signaling. Trends Plant Sci, 28(3), 267-270.","[""https://doi.org/10.1016/j.tplants.2022.12.008"", ""https://www.science.org/doi/10.1126/scisignal.2100re9""]"
296,Phosphatase code,The Phosphatase Code,"Roy, J. and M. S. Cyert (2009). “Cracking the phosphatase code: docking interactions determine substrate specificity.” Sci Signal 2(100): re9. Heroes, E., B. Lesage, J. Görnemann, M. Beullens, L. Van Meervelt and M. Bollen (2013). ""The PP1 binding code: a molecular-lego strategy that governs specificity."" Febs j 280(2): 584-595. Choy, M. S., M. Hieke, G. S. Kumar, G. R. Lewis, K. R. Gonzalez-DeWhitt, R. P. Kessler, B. J. Stein, M. Hessenberger, A. C. Nairn, W. Peti and R. Page (2014). ""Understanding the antagonism of retinoblastoma protein dephosphorylation by PNUTS provides insights into the PP1 regulatory code."" Proc Natl Acad Sci U S A 111(11): 4097-4102.","[""https://febs.onlinelibrary.wiley.com/doi/10.1111/j.1742-4658.2012.08547.x"", ""https://www.pnas.org/doi/10.1073/pnas.1317395111"", ""https://www.science.org/doi/10.1126/scisignal.2100re9""]"
297,Phosphoinositide code,The Phosphoinositide Code,"Overduin, M., & and Kervin, T. A. (2021). The phosphoinositide code is read by a plethora of protein domains. Expert Review of Proteomics, 18(7), 483-502.","[""https://doi.org/10.1080/14789450.2021.1962302"", ""https://www.nature.com/articles/cdd2015122""]"
298,Phospholipid code,The Phospholipid Code,"Baxter, A. A., M. D. Hulett and I. K. Poon (2015). ""The phospholipid code: a key component of dying cell recognition, tumor progression and host-microbe interactions."" Cell Death Differ 22(12): 1893- 1905.","[""https://www.nature.com/articles/cdd2015122"", ""https://www.sciencedirect.com/science/article/abs/pii/S0300908481801411""]"
